NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
PGLYRP4	1	ENSG00000163218	
ENSG00000287730	1	ENSG00000287730	
PGLYRP3	1	ENSG00000159527	
TEX41	1	ENSG00000226674	
ST3GAL1-DT	1	ENSG00000261220	
SCX	1	ENSG00000260428	
TEX46	1	ENSG00000227868	
TEX48	1	ENSG00000230601	
HTR4	1	ENSG00000164270	
CRHBP	1	ENSG00000145708	
ZC3H12C	1	ENSG00000149289	
HTR7	1	ENSG00000148680	
DPYSL5	1	ENSG00000157851	
LINC02716	1	ENSG00000205106	
SMCO2	1	ENSG00000165935	
PRKACB	1	ENSG00000142875	
UNC5A	1	ENSG00000113763	
FNBP1	1	ENSG00000187239	
PKD1L1-AS1	1	ENSG00000136275	
CACNA2D1	1	ENSG00000153956	
UNC5C	1	ENSG00000182168	
UNC5D	1	ENSG00000156687	
TFR2	1	ENSG00000106327	
ASPHD1	1	ENSG00000174939	
DDIT4	1	ENSG00000168209	
AGTR1	1	ENSG00000144891	
TXNIP	1	ENSG00000265972	
AGTR2	1	ENSG00000180772	
MIR4713HG	1	ENSG00000259240	
LINC02700	1	ENSG00000255666	
FAXDC2	1	ENSG00000170271	
LYPD3	1	ENSG00000124466	
ADAMTS12	1	ENSG00000151388	
LYPD8	1	ENSG00000259823	
BNC2-AS1	1	ENSG00000234779	
RDH12	1	ENSG00000139988	
IGF2-AS	1	ENSG00000099869	
ENSG00000287709	1	ENSG00000287709	
KCNQ1OT1	1	ENSG00000269821	
RDH16	1	ENSG00000139547	
HCRT	1	ENSG00000161610	
LINC02731	1	ENSG00000204241	
LINC02733	1	ENSG00000255553	
LMCD1-AS1	1	ENSG00000227110	
JAG2	1	ENSG00000184916	
NEBL	1	ENSG00000078114	
BTBD16	1	ENSG00000138152	
MYOM3-AS1	1	ENSG00000230703	
PBX4	1	ENSG00000105717	
PKIB	1	ENSG00000135549	
TSPAN5-DT	1	ENSG00000260641	
FXYD4	1	ENSG00000150201	
FXYD1	1	ENSG00000266964	
LINC02723	1	ENSG00000231680	
FXYD6	1	ENSG00000137726	
FXYD5	1	ENSG00000089327	
GSTM5	1	ENSG00000134201	
ENSG00000179066	1	ENSG00000179066	
MMP20	1	ENSG00000137674	
SHE	1	ENSG00000169291	
SHH	1	ENSG00000164690	
MMP27	1	ENSG00000137675	
MMP28	1	ENSG00000271447	
LINC00974	1	ENSG00000226629	
NEFL	1	ENSG00000277586	
NEFM	1	ENSG00000104722	
NEFH	1	ENSG00000100285	
STUM	1	ENSG00000203685	
SLC18A3	1	ENSG00000187714	
LINC00973	1	ENSG00000240476	
DUSP4	1	ENSG00000120875	
CHST8	1	ENSG00000124302	
CHST9	1	ENSG00000154080	
DUSP2	1	ENSG00000158050	
TEX11	1	ENSG00000120498	
MAMDC2	1	ENSG00000165072	
BGN	1	ENSG00000182492	
ENSG00000287706	1	ENSG00000287706	
TSBP1-AS1	1	ENSG00000225914	
DUSP9	1	ENSG00000130829	
MMP10	1	ENSG00000166670	
TEX19	1	ENSG00000182459	
MMP12	1	ENSG00000262406	
MMP11	1	ENSG00000099953	
TMEFF2	1	ENSG00000144339	
MMP13	1	ENSG00000137745	
PLSCR3	1	ENSG00000187838	
LINC00967	1	ENSG00000253138	
PLSCR5	1	ENSG00000231213	
PLSCR4	1	ENSG00000114698	
DPYD	1	ENSG00000188641	
PTRH1	1	ENSG00000187024	
CHST4	1	ENSG00000140835	
PAFAH1B3	1	ENSG00000079462	
CRYAB	1	ENSG00000109846	
CHST5	1	ENSG00000135702	
KCNA1	1	ENSG00000111262	
SYNPO2	1	ENSG00000172403	
KCNA3	1	ENSG00000177272	
KCNA4	1	ENSG00000182255	
KCNA5	1	ENSG00000130037	
KCNA6	1	ENSG00000151079	
ETNK1-DT	1	ENSG00000257023	
LINC00996	1	ENSG00000242258	
JAM2	1	ENSG00000154721	
JAM3	1	ENSG00000166086	
ENSG00000284650	1	ENSG00000284650	
RIC3	1	ENSG00000166405	
KCNB1	1	ENSG00000158445	
KCNB2	1	ENSG00000182674	
ATAD2	1	ENSG00000156802	
SCTR	1	ENSG00000080293	
ADAM33	1	ENSG00000149451	
KIAA2012	1	ENSG00000182329	
KIR3DL2	1	ENSG00000240403	
KIR3DL3	1	ENSG00000242019	
LGR6	1	ENSG00000133067	
LGR5	1	ENSG00000139292	
DPP10-AS1	1	ENSG00000235026	
ENSG00000233030	1	ENSG00000233030	
KCNG3	1	ENSG00000171126	
LINC01475	1	ENSG00000257582	
ENSG00000267288	1	ENSG00000267288	
LAPTM4B	1	ENSG00000104341	
FADS2	1	ENSG00000134824	
BALR6	1	ENSG00000274840	
CYSRT1	1	ENSG00000197191	
SLN	1	ENSG00000170290	
MYBPHL	1	ENSG00000221986	
FADS1	1	ENSG00000149485	
LINC02798	1	ENSG00000227082	
KCNH4	1	ENSG00000089558	
DGAT2	1	ENSG00000062282	
KCNH5	1	ENSG00000140015	
UGT2B11	1	ENSG00000213759	
KCNH8	1	ENSG00000183960	
UGT2B15	1	ENSG00000196620	
LINC01460	1	ENSG00000205334	
UGT2B17	1	ENSG00000197888	
ATP11A	1	ENSG00000068650	
TSPOAP1-AS1	1	ENSG00000265148	
SDCBP2	1	ENSG00000125775	
SRCIN1	1	ENSG00000277363	
NPAS4	1	ENSG00000174576	
JAML	1	ENSG00000160593	
MSH5	1	ENSG00000204410	
LY6D	1	ENSG00000167656	
PKP1	1	ENSG00000081277	
LY6H	1	ENSG00000176956	
AJUBA	1	ENSG00000129474	
LY6E	1	ENSG00000160932	
BLK	1	ENSG00000136573	
GRIA1	1	ENSG00000155511	
LINC00163	1	ENSG00000234880	
GRIA2	1	ENSG00000120251	
FAM222A-AS1	1	ENSG00000255650	
KCNE2	1	ENSG00000159197	
LINC01497	1	ENSG00000237560	
PDZRN3-AS1	1	ENSG00000239677	
FBXO47	1	ENSG00000204952	
PKMYT1	1	ENSG00000127564	
FBXO41	1	ENSG00000163013	
NPAS3	1	ENSG00000151322	
TNFRSF17	1	ENSG00000048462	
CABP1-DT	1	ENSG00000256008	
GRIA3	1	ENSG00000125675	
LINC01489	1	ENSG00000255727	
GRIA4	1	ENSG00000152578	
LINC01485	1	ENSG00000254211	
NEK5	1	ENSG00000197168	
RASL10B	1	ENSG00000270885	
HTR1D	1	ENSG00000179546	
BMX	1	ENSG00000102010	
FBXO32	1	ENSG00000156804	
C6orf15	1	ENSG00000204542	
H2AZ2-DT	1	ENSG00000234183	
G6PC1	1	ENSG00000131482	
LRCH2	1	ENSG00000130224	
G6PC2	1	ENSG00000152254	
BFSP2	1	ENSG00000170819	
BFSP1	1	ENSG00000125864	
SP6	1	ENSG00000189120	
SP5	1	ENSG00000204335	
SP8	1	ENSG00000164651	
RHPN1-AS1	1	ENSG00000254389	
SP9	1	ENSG00000217236	
TRIM71	1	ENSG00000206557	
PIWIL1	1	ENSG00000125207	
TRIM72	1	ENSG00000177238	
ONECUT2	1	ENSG00000119547	
KCNK9	1	ENSG00000169427	
ONECUT3	1	ENSG00000205922	
HTR2C	1	ENSG00000147246	
ECE2	1	ENSG00000145194	
MSLN	1	ENSG00000102854	
UNC80	1	ENSG00000144406	
KIAA1549	1	ENSG00000122778	
LINC01429	1	ENSG00000227964	
ENSG00000226706	1	ENSG00000226706	
LINC01426	1	ENSG00000234380	
SPX	1	ENSG00000134548	
NKX3-2	1	ENSG00000109705	
BCAS1	1	ENSG00000064787	
PIERCE1	1	ENSG00000160345	
SLC36A1	1	ENSG00000123643	
GRID2	1	ENSG00000152208	
PIANP	1	ENSG00000139200	
HTR3E	1	ENSG00000186038	
DHPS	1	ENSG00000095059	
HTR3C	1	ENSG00000178084	
HTR3A	1	ENSG00000166736	
HTR3B	1	ENSG00000149305	
SPNS2-AS1	1	ENSG00000229782	
ADAMTS20	1	ENSG00000173157	
ARL4D	1	ENSG00000175906	
LINC01419	1	ENSG00000253898	
LINC01414	1	ENSG00000253554	
TRIM58	1	ENSG00000162722	
TRIM54	1	ENSG00000138100	
LINC01411	1	ENSG00000249306	
TRIM55	1	ENSG00000147573	
LINC01412	1	ENSG00000232606	
PRKAA2	1	ENSG00000162409	
LINC02783	1	ENSG00000204362	
UHRF1	1	ENSG00000276043	
SRI	1	ENSG00000075142	
NNAT	1	ENSG00000053438	
E2F1	1	ENSG00000101412	
LINC02778	1	ENSG00000238242	
LINC01449	1	ENSG00000224017	
LINC00113	1	ENSG00000225298	
E2F7	1	ENSG00000165891	
KC6	1	ENSG00000267313	
TRIM40	1	ENSG00000204614	
LINC02772	1	ENSG00000271736	
KCNJ9	1	ENSG00000162728	
GZMA	1	ENSG00000145649	
ENSG00000245008	1	ENSG00000245008	
STYK1	1	ENSG00000060140	
GZMB	1	ENSG00000100453	
APLN	1	ENSG00000171388	
TM6SF2	1	ENSG00000213996	
DBNDD1	1	ENSG00000003249	
UROC1	1	ENSG00000159650	
SST	1	ENSG00000157005	
PDCD4	1	ENSG00000150593	
KCP	1	ENSG00000135253	
TRIM36	1	ENSG00000152503	
KCNK2	1	ENSG00000082482	
LINC01433	1	ENSG00000230176	
KCNK3	1	ENSG00000171303	
ODAD1	1	ENSG00000105479	
SLC23A3	1	ENSG00000213901	
LINCADL	1	ENSG00000287148	
SLC23A1	1	ENSG00000170482	
MT1M	1	ENSG00000205364	
IKZF1	1	ENSG00000185811	
C16orf89	1	ENSG00000153446	
PEX26	1	ENSG00000215193	
LGALS4	1	ENSG00000171747	
LGALS2	1	ENSG00000100079	
MT2A	1	ENSG00000125148	
IL36B	1	ENSG00000136696	
MCIDAS	1	ENSG00000234602	
TRIM29	1	ENSG00000137699	
FOXD3-AS1	1	ENSG00000230798	
ANPEP	1	ENSG00000166825	
TNFSF10	1	ENSG00000121858	
TNFSF11	1	ENSG00000120659	
ENSG00000231252	1	ENSG00000231252	
INHBA-AS1	1	ENSG00000224116	
LINC03126	1	ENSG00000228549	
CER1	1	ENSG00000147869	
ARL14	1	ENSG00000179674	
FBXO2	1	ENSG00000116661	
LINC00092	1	ENSG00000225194	
SNHG15	1	ENSG00000232956	
CFAP144	1	ENSG00000186973	
MT1F	1	ENSG00000198417	
MT1G	1	ENSG00000125144	
KCNQ5	1	ENSG00000185760	
MT1H	1	ENSG00000205358	
CES3	1	ENSG00000172828	
ROPN1	1	ENSG00000065371	
CES2	1	ENSG00000172831	
MT1E	1	ENSG00000169715	
GRB7	1	ENSG00000141738	
CERKL	1	ENSG00000188452	
SNHG17	1	ENSG00000196756	
SYNGR1	1	ENSG00000100321	
MC2R	1	ENSG00000185231	
NEU4	1	ENSG00000204099	
APELA	1	ENSG00000248329	
SNHG25	1	ENSG00000266402	
NKAIN3	1	ENSG00000185942	
KCNN3	1	ENSG00000143603	
KCNN4	1	ENSG00000104783	
PCK1	1	ENSG00000124253	
B4GALNT2	1	ENSG00000167080	
B4GALNT4	1	ENSG00000182272	
SLC10A4	1	ENSG00000145248	
NTNG1	1	ENSG00000162631	
FAM9A	1	ENSG00000183304	
SPHKAP	1	ENSG00000153820	
SMLR1	1	ENSG00000256162	
SLC10A1	1	ENSG00000100652	
TNFSF15	1	ENSG00000181634	
DDIAS	1	ENSG00000165490	
SLC10A2	1	ENSG00000125255	
SPDYC	1	ENSG00000204710	
IGF2	1	ENSG00000167244	
IL36G	1	ENSG00000136688	
NBEAL1	1	ENSG00000144426	
CFAP119	1	ENSG00000196118	
IGF1	1	ENSG00000017427	
FER1L6	1	ENSG00000214814	
SPMIP4	1	ENSG00000153790	
CYP26A1	1	ENSG00000095596	
MC1R	1	ENSG00000258839	
PTK7	1	ENSG00000112655	
SNHG32	1	ENSG00000204387	
SPMIP1	1	ENSG00000272899	
FAM30A	1	ENSG00000226777	
ITGBL1	1	ENSG00000198542	
APOBEC3A	1	ENSG00000128383	
TP73	1	ENSG00000078900	
APOBEC3B	1	ENSG00000179750	
SPAG17	1	ENSG00000155761	
MSTN	1	ENSG00000138379	
GRIK5	1	ENSG00000105737	
LINC01394	1	ENSG00000281809	
GRIK3	1	ENSG00000163873	
GRIK1	1	ENSG00000171189	
DMBX1	1	ENSG00000197587	
KCNT1	1	ENSG00000107147	
KCNT2	1	ENSG00000162687	
NMRK2	1	ENSG00000077009	
FCER1A	1	ENSG00000179639	
FRGCA	1	ENSG00000236663	
PHGDH	1	ENSG00000092621	
PGM5P4-AS1	1	ENSG00000231943	
MIR4300HG	1	ENSG00000245832	
MRPS24	1	ENSG00000062582	
ENSG00000288111	1	ENSG00000288111	
LINC00051	1	ENSG00000254008	
MST1	1	ENSG00000173531	
SYP	1	ENSG00000102003	
EIPR1-IT1	1	ENSG00000224885	
CNKSR2	1	ENSG00000149970	
MC3R	1	ENSG00000124089	
KIT	1	ENSG00000157404	
ERICH2-DT	1	ENSG00000234350	
TLCD4	1	ENSG00000152078	
TAX1BP3	1	ENSG00000213977	
MICU3	1	ENSG00000155970	
TLCD2	1	ENSG00000185561	
AFAP1-AS1	1	ENSG00000272620	
AHCY	1	ENSG00000101444	
LINC03113	1	ENSG00000287171	
LINC03110	1	ENSG00000275418	
ENSG00000286383	1	ENSG00000286383	
PRICKLE2	1	ENSG00000163637	
NEXN	1	ENSG00000162614	
NOXO1	1	ENSG00000196408	
ENSG00000286380	1	ENSG00000286380	
MSX1	1	ENSG00000163132	
